kind,task,language,slug,baseline,macro_f1,selected_count,judge_label_correctness,judge_quality_score,score_C,score_L,score_H,hard_reject_rate,path
selection,news_topic_classification,amh,b64_m3_s13,cosda_rerank_v2,,64,0.84375,0.71484375,0.5710880750673824,0.0,0.03671523667440669,0.609375,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/amh/b64_m3_s13/selected/cosda_rerank_v2.jsonl
selection,news_topic_classification,amh,b64_m3_s13,deita_style,,64,0.828125,0.7046875,0.5529105854802765,0.0,0.0494273857417981,0.671875,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/amh/b64_m3_s13/selected/deita_style.jsonl
selection,news_topic_classification,amh,b64_m3_s13,naive,,64,0.5921875,0.56640625,0.49383607194176876,0.0002256317689530686,0.04691779276705234,0.765625,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/amh/b64_m3_s13/selected/naive.jsonl
selection,news_topic_classification,hau,b64_m3_s13,alpagasus_style,,64,0.9015625,0.73046875,0.578329373933957,0.0005656313768203712,0.07477809443093285,0.546875,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/hau/b64_m3_s13/selected/alpagasus_style.jsonl
selection,news_topic_classification,hau,b64_m3_s13,cosda_equal_budget,,64,0.790625,0.69375,0.633531005049008,0.0006732390633656246,0.07199443804125684,0.25,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/hau/b64_m3_s13/selected/cosda_equal_budget.jsonl
selection,news_topic_classification,hau,b64_m3_s13,cosda_rerank_v2,,64,0.9015625,0.72578125,0.6030292078590719,0.0006036697277266114,0.06549627068807402,0.40625,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/hau/b64_m3_s13/selected/cosda_rerank_v2.jsonl
selection,news_topic_classification,hau,b64_m3_s13,deita_style,,64,0.8796875000000001,0.71640625,0.5478895810985704,0.0008471787916081858,0.08425317997970638,0.640625,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/hau/b64_m3_s13/selected/deita_style.jsonl
selection,news_topic_classification,hau,b64_m3_s13,naive,,64,0.765625,0.65703125,0.5476357750740135,0.0008589512503985707,0.08474582429360596,0.65625,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/hau/b64_m3_s13/selected/naive.jsonl
selection,news_topic_classification,swa,b64_m3_s13,alpagasus_style,,64,0.9187500000000001,0.73046875,0.6194334805099061,0.0005475273914650419,0.0695845057405446,0.34375,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/swa/b64_m3_s13/selected/alpagasus_style.jsonl
selection,news_topic_classification,swa,b64_m3_s13,cosda_equal_budget,,64,0.8406250000000001,0.69921875,0.666536203713622,0.0004542379658359591,0.06595284347657372,0.09375,/mnt/cosda/runs/aws_vllm_revised_select1_v2_full_20260521/news_topic_classification/swa/b64_m3_s13/selected/cosda_equal_budget.jsonl
